Block Structure Code,Total Block Rateable Value,Block Name,BD Code (Only issued if block contains Homeowners)
STR003908,1064,WILTSHIRE ROAD ,
STR003909,1064,WILTSHIRE ROAD 74 A-D,BD003363
STR003910,1064,WILTSHIRE ROAD 76 A-D,BD003364
STR003915,397,ANGELL ROAD ,
STR003917,556,BURTON ROAD ,BD000971
STR003918,524,LOUGHBOROUGH ROAD ,
STR003919,419,BURTON ROAD ,
STR003920,516,GRESHAM ROAD ,
STR003921,516,GRESHAM ROAD ,BD000817
STR003922,459,LOUGHBOROUGH ROAD ,
STR003923,918,LOUGHBOROUGH ROAD (24-26),BD000973
STR003924,459,LOUGHBOROUGH ROAD ,BD000974
STR003925,459,LOUGHBOROUGH ROAD ,BD000981
STR003926,459,LOUGHBOROUGH ROAD ,BD000983
STR003927,459,LOUGHBOROUGH ROAD ,
STR003928,459,LOUGHBOROUGH ROAD ,BD000985
STR003929,459,LOUGHBOROUGH ROAD ,BD003595
STR003930,909,ST JOHNS CRESCENT FLATS 10 A-C,BD003359
STR003931,971," ST JOHNS CRESCENT 16, FLATS 1-3",BD003361
STR003932,236,BLACK TREE MEWS ,BD003270
STR003934,302,BURTON LANE ,
STR003935,302,BURTON LANE ,BD000561
STR003936,4672,STYLES GARDENS 7-22,BD000497
STR003937,266,BURTON LANE ,
STR003938,4672,STYLES GARDENS 23-38,BD000498
STR003939,463,BURTON RD,BD003524
STR003940,4672,STYLES GARDENS 39-54,BD000499
STR003941,355,BURTON ROAD ,
STR003942,4672,STYLES GARDENS 55-70,BD000500
STR003943,4672,STYLES GARDENS 71-86,BD000501
STR003946,245,SWINFORD GARDENS ,
STR003947,2960,SWINFORD GARDENS 22-41,BD000505
STR003952,302,CHURCH GREEN ,
STR003954,266,CHURCH GREEN ,BD000575
STR003957,302,CHURCH GREEN ,BD000577
STR003958,302,CHURCH GREEN ,BD000579
STR003961,6737,CROWHURST CLOSE 2-29 CONS,
STR003971,3054,ELAM CLOSE 1-12,BD001124
STR003972,5014,ELAM CLOSE 13-31,BD001125
STR003973,5688,ELAM CLOSE 32-49,BD001126
STR003977,306,EVANDALE ROAD ,
STR003988,258,EVESHAM WALK ,
STR003997,392,BURTON ROAD ,
STR003998,624,BURTON ROAD 129 A-C,BD000988
STR004001,524,LOUGHBOROUGH ROAD ,BD000856
STR004002,485,CLARIBEL ROAD ,BD000831
STR004003,1064,ST JOHNS CRESCENT ,BD000961
STR004006,426,BURTON ROAD ,
STR004021,1638,BRIXTON ROAD 341 A-K,BD000867
STR004024,1436,BRIXTON ROAD 345 A-J,BD000868
STR004025,2412,FAIRFAX HOUSE (21-28),BD000535
STR004026,1516,FAIRFAX HOUSE (29-33),
STR004028,722,BRIXTON ROAD 349 FLATS A-D,BD000869
STR004030,722,BRIXTON ROAD 355 FLATS A-D ,BD000870
STR004035,422,BRIXTON ROAD ,
STR004036,2159,BRIXTON ROAD 309/313 FLATS A-K,BD000883
STR004039,368,"LOUGHBOROUGH ROAD 53, FLATS A&B NON-BLCK",BD000875
STR004040,463,MINET ROAD ,BD001130
STR004041,144,LOUGHBOROUGH ROAD ,
STR004042,982,"ST JAMES CRESCENT 165, 165A & 165B",BD000541
STR004044,458,LOUGHBOROUGH ROAD ,
STR004045,834,LOUGHBOROUGH ROAD 35A FLAT 1-4,BD003599
STR004046,579,BURTON ROAD 94 FLATS 1-3,BD001013
STR004047,539,BURTON ROAD 103 FLATS 1-4,BD001009
STR004048,434,CLARIBEL ROAD ,BD003684
STR004049,493,FIVEWAYS ROAD,BD000844
STR004050,625,FIVEWAYS ROAD 5 FLATS 1-3,BD000845
STR004052,747,FIVEWAYS ROAD 9 FLATS A-C,BD000841
STR004053,556,FIVEWAYS ROAD ,
STR004054,524,FIVEWAYS ROAD ,
STR004055,512,FIVEWAYS ROAD ,BD000842
STR004057,740,FIVEWAYS ROAD 19 FLATS A-C,BD000840
STR004058,511,LOUGHBOROUGH ROAD,BD000851
STR004059,524,LOUGHBOROUGH ROAD,BD000853
STR004060,524,LOUGHBOROUGH ROAD,BD000855
STR004061,622,LOUGHBOROUGH ROAD,BD000858
STR004062,524,LOUGHBOROUGH ROAD,
STR004063,540,LOUGHBOROUGH ROAD,
STR004064,1458,LOUGHBOROUGH ROAD,
STR004066,827,ST JOHNS CRESCENT 6 A B & C,BD003357
STR004067,971,ST JOHNS CRESCENT 14 FLATS 1-3,BD003464
STR004069,306,FYFIELD ROAD ,
STR004073,302,HILDA TERRACE ,
STR004074,302,HILDA TERRACE ,
STR004075,3778,HORLE WALK (1-14),BD001139
STR004076,3849,HORLE WALK (15-30),BD001139
STR004077,6017,HORLE WALK (31-54),BD001139
STR004079,367,LILFORD ROAD,
STR004080,302,LORD HOLLAND LANE ,BD000571
STR004081,455,AUCKLAND HILL ,BD002181
STR004082,541,AUCKLAND HILL ,
STR004084,302,LORD HOLLAND LANE ,
STR004090,169,CHAPEL ROAD ,
STR004095,152,CHAPEL ROAD ,
STR004096,306,CHAPEL ROAD ,
STR004100,443,CHESTNUT ROAD ,BD001717
STR004102,667,CHESTNUT ROAD ,BD002180
STR004107,318,HARPENDEN ROAD,BD001678
STR004109,760,KNIGHTS HILL (248-252),BD001171
STR004110,483,MOUNT VILLAS,BD003217
STR004111,700,MOUNT VILLAS,BD003218
STR004113,501,PROBYN ROAD,BD001817
STR004114,508,AVENUE PARK ROAD ,BD001814
STR004115,346,TIVOLI ROAD,BD001166
STR004116,436,BROXHOLM ROAD,BD001684
STR004118,511,BROXHOLM ROAD ,
STR004119,194,TULSE HILL ,
STR004120,227,APPACH ROAD ,
STR004125,355,ARLINGFORD ROAD ,
STR004127,278,AUCKLAND HILL ,
STR004130,678,AUCKLAND HILL ,BD001845
STR004131,661,AUCKLAND HILL ,
STR004132,282,ARLINGFORD ROAD ,
STR004133,867,ARLINGFORD ROAD ,
STR004135,335,ARLINGFORD ROAD ,
STR004136,306,ARLINGFORD ROAD ,
STR004137,359,ARLINGFORD ROAD ,
STR004138,388,ARLINGFORD ROAD ,
STR004140,278,ATHLONE ROAD ,
STR004143,3710,STOCKWELL LANE 2-21,BD002272
STR004149,215,BRAILSFORD ROAD ,BD000923
STR004151,405,HELIX GARDENS ,BD003278
STR004152,270,BEECHDALE ROAD ,
STR004154,302,BODLEY MANOR WAY ,
STR004155,1856,BODLEY MANOR WAY (1-15),BD000671
STR004156,302,BODLEY MANOR WAY,
STR004157,302,BODLEY MANOR WAY,
STR004159,928,BODLEY MANOR WAY (17-23),BD000671
STR004161,3248,BODLEY MANOR WAY 25-51,BD000673
STR004162,223,BRAILSFORD ROAD ,
STR004164,215,BRAILSFORD ROAD ,
STR004166,215,BRAILSFORD ROAD ,
STR004171,363,BRAILSFORD ROAD ,
STR004173,494,VALLEY ROAD 162-164,BD001730
STR004176,177,BRIXTON ROAD ,BD000897
STR004177,381,CAMBERWELL NEW ROAD ,
STR004179,478,CAMBERWELL NEW ROAD ,BD001108
STR004181,414,CAMBERWELL NEW ROAD ,BD001110
STR004182,390,CAMBERWELL NEW ROAD ,
STR004183,309,CAMBERWELL NEW ROAD ,
STR004184,401,CAMBERWELL NEW ROAD ,BD001113
STR004185,347,CAMBERWELL NEW ROAD ,BD003508
STR004187,468,CAMBERWELL NEW ROAD ,BD000895
STR004190,355,CAMBERWELL NEW ROAD ,
STR004191,198,CHANDLERS WAY,
STR004192,198,CHANDLERS WAY,BD000678
STR004193,198,CHANDLERS WAY,
STR004194,198,CHANDLERS WAY,
STR004198,8158,CHERRY CLOSE 1-33,BD001070
STR004199,908,CHAUCER ROAD 72-78,BD000522
STR004208,8158,CHERRY CLOSE 34-66 CONS,BD001071
STR004210,904,CAMBERWELL NEW ROAD ,BD001115
STR004222,302,CHERRY LAUREL WALK ,
STR004224,658,"CHERRY LAUREL WALK (4,5&9)",BD000704
STR004226,438,CHERRY LAUREL WALK ,
STR004228,302,CHERRY LAUREL WALK ,BD000706
STR004230,740,"CHERRY LAUREL WALK (10,14,15)",BD000706
STR004231,294,CHERRY LAUREL WALK ,
STR004232,364,CHERRY LAUREL WALK ,
STR004236,250,CHERRY LAUREL WALK ,BD000708
STR004237,250,CHERRY LAUREL WALK ,
STR004240,302,CHERRY LAUREL WALK ,BD000707
STR004245,604,BRIXTON ROAD (215),
STR004249,749,FOXLEY ROAD 21 A-E,BD001029
STR004254,5130,CROSBY WALK 1-39 ODD,BD000675
STR004255,258,CROSBY WALK ,BD000674
STR004256,822," FOXLEY ROAD, 38 A-D",BD001045
STR004257,302,CROSBY WALK ,BD000677
STR004258,302,CROSBY WALK ,
STR004259,2784,CROSBY WALK (47-58),
STR004263,751,FOXLEY ROAD 32 A-D,BD001043
STR004269,219,ENDYMION ROAD ,
STR004270,207,ENDYMION ROAD ,
STR004272,739,FOXLEY ROAD 40 A-D,BD001046
STR004273,990,FOXLEY ROAD 46 A-E,BD001049
STR004274,810,FOXLEY ROAD 48 A-D,BD001050
STR004275,215,BRAILSFORD ROAD ,BD000922
STR004276,227,LEANDER ROAD ,
STR004277,666,ARLINGFORD ROAD ,
STR004278,434,BRAILSFORD ROAD ,BD003605
STR004279,463,LILFORD ROAD ,
STR004280,451,LILFORD ROAD ,BD000826
STR004281,568,LILFORD ROAD ,BD000827
STR004282,434,LILFORD ROAD ,BD000818
STR004283,603,BRAILSFORD ROAD ,
STR004284,596,LILFORD ROAD ,
STR004285,752,LILFORD ROAD ,BD001000
STR004286,592,LILFORD ROAD ,BD003672
STR004289,457,ELM PARK ,
STR004290,425,FAIRMOUNT ROAD ,BD000763
STR004291,480,JOSEPHINE AVENUE ,BD001123
STR004292,483,"OSTADE HOUSE 6 A,B & C",BD000767
STR004293,435,SHAKESPEARE ROAD ,
STR004295,453,APPACH ROAD ,
STR004297,541,ARLINGFORD ROAD 6 FLATS 1 2 & 3,BD000912
STR004298,642,ARLINGFORD ROAD ,BD000913
STR004299,607,ARLINGFORD ROAD ,BD000914
STR004300,476,LILFORD ROAD ,
STR004302,545,ARLINGFORD ROAD ,BD000915
STR004303,578," ARLINGFORD ROAD 67, FLATS 1,2 & 3",BD000917
STR004304,577,ARLINGFORD ROAD ,BD000919
STR004306,405,ARODENE ROAD ,BD000756
STR004307,413,BEECHDALE ROAD ,BD000757
STR004310,223,VASSALL ROAD ,
STR004311,144,VASSALL ROAD ,BD000908
STR004313,330,FAIRBAIRN GREEN ,BD000613
STR004314,757,VASSALL ROAD 95 A-E,BD001052
STR004315,271,VASSALL ROAD ,
STR004316,942,VASSALL ROAD 104 A-E,BD001120
STR004317,736,VASSALL ROAD 105 A-E,BD001037
STR004318,832,VASSALL ROAD 106 A-E,BD003611
STR004319,262,VASSALL ROAD ,
STR004321,338,VASSALL ROAD ,
STR004322,1115,VASSALL ROAD 93 A-F,BD001051
STR004324,574,BRAILSFORD ROAD ,BD000924
STR004325,499,BRAILSFORD ROAD ,BD000925
STR004326,496,BRAILSFORD ROAD ,
STR004327,476,BRAILSFORD ROAD ,
STR004328,12064,CALIDORE CLOSE 1-52,BD000520
STR004331,678,PENFORD STREET 3 FLATS 1-3,BD003500
STR004332,686,PENFORD STREET ,BD000989
STR004333,674,PENFORD STREET 9 FLATS 1-3,BD001002
STR004335,686,PENFORD STREET 10 FLATS 1-3,BD000990
STR004336,674,PENFORD STREET 13 FLAT 1 2&3,BD000996
STR004337,686,PENFORD STREET ,BD000967
STR004338,674,PENFORD STREET ,
STR004340,330,MANDELA STREET ,BD000717
STR004341,1578,PAULET ROAD (53-59A),BD000467
STR004346,662,KNATCHBULL ROAD 51 FLATS A B&C,BD001012
STR004349,540,CHAUCER ROAD ,BD003412
STR004352,402,CHAUCER ROAD ,
STR004353,393,CRASTER ROAD ,BD003415
STR004354,572,DULWICH ROAD ,BD003416
STR004355,798,DULWICH ROAD ,BD000928
STR004356,552,DULWICH ROAD ,BD000930
STR004357,611,DULWICH ROAD ,BD000758
STR004362,435,ENDYMION ROAD ,
STR004364,443,ENDYMION ROAD ,
STR004367,461,ENDYMION ROAD ,BD000759
STR004368,396,ENDYMION ROAD ,BD000760
STR004371,418,FAIRMOUNT ROAD ,BD000761
STR004375,459,FAIRMOUNT ROAD ,BD000762
STR004377,371,FAIRMOUNT ROAD ,
STR004379,409,HELIX ROAD ,BD003419
STR004381,202,CANCELL ROAD ,
STR004382,414,HELIX ROAD,BD000764
STR004383,202,CANCELL ROAD ,
STR004384,223,CANCELL ROAD ,BD000669
STR004385,414,HELIX ROAD ,
STR004388,409,HELIX ROAD ,BD000765
STR004390,258,CANCELL ROAD ,
STR004392,245,CANCELL ROAD ,
STR004398,414,LEANDER ROAD,BD000770
STR004399,405,LEANDER ROAD,BD003246
STR004400,464,LEANDER ROAD,BD003439
STR004401,409,LEANDER ROAD,BD000771
STR004402,380,LEANDER ROAD,BD003405
STR004403,556,MACKIE ROAD ,BD000772
STR004405,338,MILTON ROAD ,BD000766
STR004406,357,OSTADE ROAD 4 FLATS 1-3,BD003506
STR004407,505,RALEIGH GARDENS ,BD003436
STR004408,454,SHAKESPEARE ROAD ,
STR004410,254,TULSE HILL ,BD000768
STR004411,8158,GREENLEAF CLOSE 1-33,BD001075
STR004420,8158,GREENLEAF CLOSE 34-66,BD001076
STR004431,236,CORMONT ROAD ,
STR004433,194,COWLEY ROAD ,
STR004434,169,COWLEY ROAD ,
STR004435,169,COWLEY ROAD ,
STR004436,115,COWLEY ROAD ,
STR004442,359,FAIRBAIRN GREEN ,
STR004443,330,FAIRBAIRN GREEN ,BD000611
STR004444,330,FAIRBAIRN GREEN ,BD000612
STR004445,330,FAIRBAIRN GREEN ,
STR004446,330,FAIRBAIRN GREEN ,
STR004447,318,FAIRBAIRN GREEN ,
STR004448,318,FAIRBAIRN GREEN ,
STR004449,318,FAIRBAIRN GREEN ,
STR004450,330,FAIRBAIRN GREEN ,
STR004452,524,PAULET ROAD 91 FLATS 1-3,BD000884
STR004453,524,CORMONT ROAD 13 FLATS 1-3,BD000956
STR004454,4720,ELLIOT ROAD 55-70,BD000519
STR004455,490,INGLIS STREET FLATS,BD000980
STR004456,533,TEMPLAR STREET ,
STR004457,546,TEMPLAR STREET ,BD000992
STR004458,546,TEMPLAR STREET ,BD001003
STR004459,505,TEMPLAR STREET ,BD003485
STR004460,443,UPSTALL STREET ,BD003603
STR004461,607,UPSTALL STREET ,BD001010
STR004462,443,UPSTALL STREET ,BD001010
STR004464,465,WELBY STREET ,
STR004465,427,WELBY STREET ,
STR004467,372,CALAIS STREET ,
STR004469,700,KNATCHBULL ROAD ,BD000977
STR004471,490,KNATCHBULL ROAD ,BD001016
STR004472,198,HAMBRIDGE WAY ,
STR004474,556,KNATCHBULL ROAD ,BD001017
STR004475,198,HAMBRIDGE WAY ,
STR004476,640,KNATCHBULL ROAD ,
STR004477,1624,HAMBRIDGE WAY 8-14,BD000681
STR004478,258,HARDEL WALK ,BD000683
STR004479,3078,"HARDEL WALK (2-12,64-74)",BD000682
STR004480,566,BRIXTON ROAD ,BD000896
STR004481,604,BRIXTON ROAD ,BD000899
STR004482,3591,"HARDEL WALK 14-26,78-90 EVENS",BD000682
STR004483,604,BRIXTON ROAD ,BD000902
STR004484,446,BRIXTON ROAD (227-229),BD000904
STR004485,161,HARDEL WALK ,
STR004486,161,HARDEL WALK ,
STR004487,553,BRIXTON ROAD ,BD003510
STR004488,161,HARDEL WALK ,BD000682
STR004489,497,BRIXTON ROAD ,
STR004490,2052,HARDEL WALK 49-55 & 116-122,BD000689
STR004491,2600,"HARDEL WALK (28-36,94-102)",BD000682
STR004492,258,BRIEF STREET ,
STR004493,258,HARDEL WALK,BD000687
STR004494,2565,"HARDEL WALK (38-46,106-114)",BD000682
STR004495,2508,BRIXTON ROAD 98-106,BD003035
STR004496,258,HARDEL WALK ,
STR004498,258,HARDEL WALK ,BD000685
STR004499,211,CAMBERWELL NEW ROAD ,BD000849
STR004500,258,HARDEL WALK ,
STR004501,306,HELIX ROAD,
STR004502,278,HELIX ROAD,
STR004503,409,HELIX ROAD,
STR004506,258,LONGFORD WALK ,
STR004507,4617,LONGFORD WALK 1-35 ODD,BD000690
STR004508,258,LONGFORD WALK ,
STR004509,724,FLODDEN ROAD ,
STR004514,975,FLODDEN ROAD 22 FLAT 1-4,BD000872
STR004517,215,MILTON ROAD ,
STR004518,245,OSTADE ROAD ,
STR004519,941,KNATCHBULL ROAD ,BD000979
STR004521,2876,PAPWORTH WAY 1-12,BD003645
STR004523,943,KNATCHBULL ROAD 111 FLATS 1-4,BD001005
STR004527,591,KNATCHBULL ROAD 117 FLATS 1-3,BD001006
STR004529,967,KNATCHBULL ROAD ,BD000976
STR004530,1106,REGENT ROAD 1A-11,BD001100
STR004531,985,KNATCHBULL ROAD ,BD000874
STR004532,690,MOSTYN ROAD 3 FLAT 1-4,BD003486
STR004533,648,MOSTYN ROAD,
STR004536,274,REGENT ROAD ,
STR004537,274,REGENT ROAD ,
STR004542,2052,ROPERS WALK 2-16,BD000692
STR004545,198,ROPERS WALK ,
STR004548,422,PAULET ROAD ,
STR004549,928,SCARLETTE MANOR WAY (1-7),BD000693
STR004551,418,PAULET ROAD,BD000860
STR004552,302,SCARLETTE MANOR WAY ,
STR004554,414,PAULET ROAD ,
STR004555,2784,SCARLETTE MANOR WAY 9-31 ODD,BD000693
STR004556,1096,SPENSER ROAD 57-63,BD000526
STR004557,685,PENFORD STREET 18 FLATS 1 2&3,BD000838
STR004559,301,RUSSELL GROVE ,BD000907
STR004560,532,TEMPLAR STREET ,BD001018
STR004561,194,TULSE HILL ,BD001093
STR004563,302,UPGROVE MANOR WAY ,
STR004564,2784,UPGROVE MANOR WAY (1-23),BD000694
STR004568,706,VASSALL ROAD ,BD000910
STR004569,1856,UPGROVE MANOR WAY (25-39),BD000694
STR004570,302,VIRGINIA WALK ,
STR004571,748,"VIRGINIA WALK (4,5,8)",BD003334
STR004572,810,"VIRGINIA WALK (3,6,7)",BD000699
STR004573,332,FOXLEY ROAD ,
STR004577,477,FOXLEY ROAD 15 17 19,BD001122
STR004578,446,VIRGINIA WALK ,
STR004581,508,VIRGINIA WALK ,BD000701
STR004584,318,FOUNTAIN PLACE ,BD000584
STR004589,359,FOUNTAIN PLACE ,BD000586
STR004590,359,FOUNTAIN PLACE ,
STR004591,330,FOUNTAIN PLACE ,
STR004592,330,FOUNTAIN PLACE ,
STR004593,330,FOUNTAIN PLACE ,
STR004594,330,FOUNTAIN PLACE ,BD000591
STR004595,359,FOUNTAIN PLACE ,BD000592
STR004597,892,FOXLEY SQUARE (1-4),BD000648
STR004598,1338,FOXLEY SQUARE (5-10),BD000649
STR004599,2007,FOXLEY SQUARE (11-19),
STR004602,2007,FOXLEY SQUARE (20-28),BD000650
STR004603,1338,FOXLEY SQUARE (29-34),BD000651
STR004604,892,FOXLEY SQUARE (35-38),
STR004605,592,KNATCHBULL ROAD ,BD003294
STR004606,409,KNATCHBULL ROAD ,
STR004607,194,KNATCHBULL ROAD ,BD000991
STR004609,318,FREDERICK CRESCENT ,
STR004610,876,FREDERICK CRESCENT (45-51),
STR004611,278,HALSMERE ROAD ,
STR004612,372,HALSMERE ROAD ,
STR004613,532,HALSMERE ROAD ,BD000537
STR004614,490,HALSMERE ROAD (27-28),
STR004615,372,HALSMERE ROAD ,
STR004616,490,HALSMERE ROAD (36-37),
STR004617,744,HALSMERE ROAD (38-41),
STR004618,998,HALSMERE ROAD 42-45,BD000539
STR004619,372,HALSMERE ROAD ,
STR004622,270,HOLLAND GROVE ,
STR004626,330,HOLLAND GROVE ,
STR004627,1225,HOLLAND GROVE (42-50),
STR004628,2450,HOLLAND GROVE (54-72),
STR004629,980,HOLLAND GROVE (74-80),
STR004630,1960,HOLLAND GROVE (82-96),
STR004631,298,KENDAL CLOSE ,
STR004632,306,KENDAL CLOSE ,BD003378
STR004636,318,MANDELA STREET ,BD000718
STR004637,326,MANDELA STREET ,
STR004638,351,BEV CALLENDER CLOSE ,
STR004639,240,BEV CALLENDER CLOSE ,
STR004640,302,BEV CALLENDER CLOSE ,
STR004641,240,BEV CALLENDER CLOSE ,
STR004643,318,BEV CALLENDER CLOSE ,
STR004644,446,MANDELA STREET 28-30,BD000720
STR004645,446,MANDELA STREET (29-31),
STR004646,380,BEV CALLENDER CLOSE ,BD000148
STR004647,380,DALEY THOMPSON WAY 1-3,BD000149
STR004648,270,MANDELA STREET ,
STR004649,322,DALEY THOMPSON WAY ,
STR004650,326,MANDELA STREET ,
STR004651,322,DALEY THOMPSON WAY ,
STR004652,240,DALEY THOMPSON WAY ,
STR004653,322,DALEY THOMPSON WAY ,BD000150
STR004654,542,DALEY THOMPSON WAY ,
STR004655,322,DALEY THOMPSON WAY ,
STR004656,322,DALEY THOMPSON WAY ,
STR004657,254,DALEY THOMPSON WAY ,
STR004658,302,DALEY THOMPSON WAY ,
STR004659,326,MANDELA STREET ,
STR004660,446,GASKELL STREET (1-3),
STR004661,250,GASKELL STREET ,
STR004662,270,MANDELA STREET ,
STR004663,446,GASKELL STREET (5-7),BD000108
STR004664,446,GASKELL STREET ,BD000109
STR004665,215,GASKELL STREET ,
STR004667,254,GASKELL STREET ,
STR004669,330,GASKELL STREET ,
STR004670,338,LANGTON ROAD ,
STR004671,194,LANGTON ROAD ,
STR004673,258,GASKELL STREET ,BD000117
STR004674,254,GASKELL STREET ,
STR004675,270,GASKELL STREET ,
STR004676,270,GASKELL STREET ,
STR004677,351,LANGTON ROAD ,
STR004679,270,GASKELL STREET ,
STR004681,446,GASKELL STREET (55-57),
STR004682,245,LOTHIAN ROAD ,
STR004683,446,GASKELL STREET (51-53),
STR004684,290,MELBOURNE MEWS ,BD000640
STR004685,446,GASKELL STREET (59-61),
STR004686,392,MELBOURNE MEWS ,BD000641
STR004687,270,GASKELL STREET ,
STR004688,392,MELBOURNE MEWS,BD000643
STR004689,270,GASKELL STREET ,
STR004690,215,GASKELL STREET ,BD000119
STR004691,310,GASKELL STREET ,
STR004692,446,GASKELL STREET (117-119),BD000122
STR004694,446,GASKELL STREET (121-123),
STR004696,318,MYATT ROAD ,
STR004697,446,GASKELL STREET (125-127),
STR004698,322,MYATT ROAD ,
STR004700,314,MYATT ROAD ,
STR004701,1752,MYATT ROAD (31-45),BD003636
STR004702,1099,MYATT ROAD 4-12 EVEN,BD000710
STR004704,318,MYATT ROAD ,
STR004707,490,HEATHER CLOSE,
STR004708,330,NORMANDY ROAD ,
STR004709,490,HEATHER CLOSE ,
STR004711,306,HEATHER CLOSE ,
STR004712,306,HEATHER CLOSE ,
STR004713,318,PATMOS ROAD ,
STR004714,490,HEATER CLOSE,
STR004715,540,HEATH ROAD ,BD000152
STR004716,661,PATMOS ROAD (17-21),
STR004717,396,IVELEY ROAD (9-11),BD000239
STR004718,653,PATMOS ROAD (23-27),BD000703
STR004719,232,IVELEY ROAD ,BD000241
STR004720,1314,PATMOS ROAD (29-39),
STR004721,401,KEITH CONNOR CLOSE ,BD003390
STR004722,363,KEITH CONNOR CLOSE ,
STR004724,123,KEITH CONNOR CLOSE ,BD003390
STR004725,1314,PATMOS ROAD 47-57,BD000709
STR004726,392,KEITH CONNOR CLOSE ,
STR004727,258,PERSEVERANCE PLACE,
STR004728,393,KEITH CONNOR CLOSE ,
STR004729,211,KEITH CONNOR CLOSE ,BD000162
STR004730,258,PERSEVERANCE PLACE ,
STR004731,541,KEITH CONNOR CLOSE,BD000164
STR004732,326,PERSEVERANCE PLACE ,BD003503
STR004733,326,PERSEVERANCE PLACE,BD000668
STR004734,501,KEITH CONNOR CLOSE ,BD000163
STR004735,298,KEITH CONNOR CLOSE ,
STR004736,254,KEITH CONNOR CLOSE ,
STR004737,334,KEITH CONNOR CLOSE ,
STR004738,422,KEITH CONNOR CLOSE ,
STR004739,363,KEITH CONNOR CLOSE ,
STR004740,254,KEITH CONNOR CLOSE ,BD000165
STR004741,351,KEITH CONNOR CLOSE ,
STR004742,302,KEITH CONNOR CLOSE ,BD000166
STR004743,310,KEITH CONNOR CLOSE ,
STR004744,501,KEITH CONNOR CLOSE (29-31),
STR004745,314,KEITH CONNOR CLOSE ,
STR004747,446,LARKHALL LANE ,
STR004748,446,LARKHALL LANE ,
STR004749,446,LARKHALL LANE ,
STR004750,250,LARKHALL LANE ,
STR004751,236,MCCALL CLOSE,BD000130
STR004752,868,MCCALL CLOSE (2-8),
STR004754,868,MCCALL CLOSE (10-16),
STR004755,868,MCCALL CLOSE (18-24),
STR004756,868,MCCALL CLOSE (26-36),
STR004757,5170,PAULET ROAD 2-40 EVEN,BD000553
STR004758,868,MCCALL CLOSE (34-40),
STR004759,892,MCCALL CLOSE (42-48),
STR004760,4653,PAULET RPAD 42-76,BD000554
STR004761,868,MCCALL CLOSE (50-56),
STR004762,868,MCCALL CLOSE (58-64),
STR004765,236,MORESBY WALK ,
STR004767,422,MORESBY WALK ,
STR004768,422,MORESBY WALK ,
STR004769,5170,PAULET ROAD 78-116,BD000555
STR004770,298,MORESBY WALK,BD003560
STR004771,236,MORESBY WALK,
STR004772,322,MORESBY WALK,BD000134
STR004773,376,MORESBY WALK,BD000135
STR004774,5687,PAULET ROAD 118-160,BD000556
STR004775,322,MORESBY WALK,
STR004776,372,PAULET ROAD ,
STR004777,322,MORESBY WALK ,BD000136
STR004778,455,PAULET ROAD ,
STR004779,322,MORESBY WALK ,
STR004780,322,MORESBY WALK,
STR004781,422,MORESBY WALK,BD003509
STR004782,5170,PAULET ROAD ,BD000557
STR004783,422,MORESBY WALK,
STR004784,347,MORESBY WALK,
STR004785,322,MORESBY WALK,
STR004786,422,PEARDON STREET ,
STR004787,422,PEARDON STREET ,
STR004788,422,PEARDON STREET ,
STR004790,334,PEARDON STREET ,
STR004791,322,PEARDON STREET ,
STR004792,322,PEARDON STREET ,
STR004793,334,PEARDON STREET ,
STR004794,334,PHIL BROWN PLACE,
STR004795,318,PHIL BROWN PLACE,
STR004796,380,PHIL BROWN PLACE,BD000170
STR004798,322,PHIL BROWN PLACE,
STR004799,322,PHIL BROWN PLACE,
STR004800,322,PHIL BROWN PLACE,
STR004802,422,PHIL BROWN PLACE,BD003687
STR004803,314,PHIL BROWN PLACE,
STR004804,322,PHIL BROWN PLACE,BD000171
STR004805,322,PHIL BROWN PLACE,
STR004806,322,PHIL BROWN PLACE,
STR004807,240,PHIL BROWN PLACE,
STR004808,148,RUSSELL GROVE ,
STR004809,290,RUSSELL GROVE ,
STR004810,490,ROBERTSON STREET (2-4),
STR004811,490,ROBERTSON STREET ,
STR004812,490,ROBERTSON STREET ,
STR004813,490,ROBERTSON STREET ,
STR004814,490,ROBERTSON STREET ,
STR004815,490,ROBERTSON STREET ,
STR004816,490,ROBERTSON STREET ,
STR004817,334,ROBERTSON STREET ,
STR004818,254,ROBERTSON STREET ,
STR004819,334,ROBERTSON STREET ,
STR004821,422,ROBERTSON STREET (46-48),
STR004822,422,ROBERTSON STREET (50-52),
STR004823,422,ROBERTSON STREET 62-64,BD000175
STR004824,422,ROBERTSON STREET (66-68),
STR004825,310,ROBERTSON STREET,
STR004826,310,ROBERTSON STREET,BD000099
STR004827,236,ROBERTSON STREET,
STR004828,376,ROBERTSON STREET,
STR004829,298,ROBERTSON STREET,BD000100
STR004830,384,ROBERTSON STREET,
STR004831,298,ROBERTSON STREET,
STR004832,298,ROBERTSON STREET,
STR004833,298,ROBERTSON STREET,
STR004834,290,ROBERTSON STREET,BD000097
STR004836,302,ROBERTSON STREET,BD000098
STR004837,310,ROBERTSON STREET,
STR004838,310,ROBERTSON STREET,BD000094
STR004839,310,ROBERTSON STREET,
STR004841,310,ROBERTSON STREET,BD000095
STR004842,298,ROBERTSON STREET,
STR004843,372,ROBERTSON STREET (188-190),
STR004844,298,ROBERTSON STREET ,BD000096
STR004846,236,ROBERTSON STREET,
